alloy_name,elastic_modulus,source,C11,C12,C44
HfNb2Ta,99.58000000000001,Refractory HEA Elastic Constants (GitHub),224.96,125.38,35.76
TaTi3,83.84999999999998,Refractory HEA Elastic Constants (GitHub),183.64,99.79,36.84
NbTiZr,52.879999999999995,Refractory HEA Elastic Constants (GitHub),148.44,95.56,23.01
NbZr3,52.28999999999999,Refractory HEA Elastic Constants (GitHub),129.73,77.44,22.49
CrTi3,87.43,Refractory HEA Elastic Constants (GitHub),183.15,95.72,49.93
TaTiV,75.66,Refractory HEA Elastic Constants (GitHub),201.76,126.1,38.49
Nb2TaZr,71.88,Refractory HEA Elastic Constants (GitHub),195.81,123.93,30.11
NbTi2W,7.310000000000002,Refractory HEA Elastic Constants (GitHub),173.91,166.6,1.82
CrMoW,226.92000000000002,Refractory HEA Elastic Constants (GitHub),411.55,184.63,137.37
CrTaV,77.91999999999999,Refractory HEA Elastic Constants (GitHub),247.63,169.71,62.38
Hf2MoZr,85.42,Refractory HEA Elastic Constants (GitHub),176.25,90.83,22.84
NbTiWZr,80.20000000000002,Refractory HEA Elastic Constants (GitHub),209.49,129.29,27.48
HfTaW,137.59000000000003,Refractory HEA Elastic Constants (GitHub),268.1,130.51,53.43
HfMoZr2,79.80000000000001,Refractory HEA Elastic Constants (GitHub),171.12,91.32,19.08
CrW,258.41,Refractory HEA Elastic Constants (GitHub),454.91,196.5,109.89
NbTaVTiHf,55.28999999999999,Refractory HEA Elastic Constants (GitHub),192.84,137.55,36.52
HfNbTa,88.31,Refractory HEA Elastic Constants (GitHub),216.4,128.09,40.49
NbTaZr,67.31,Refractory HEA Elastic Constants (GitHub),178.78,111.47,34.09
HfNbTi,57.32000000000001,Refractory HEA Elastic Constants (GitHub),169.93,112.61,26.93
Hf3Nb,91.38,Refractory HEA Elastic Constants (GitHub),174.16,82.78,42.65
HfNbTaW,145.85,Refractory HEA Elastic Constants (GitHub),281.83,135.98,52.9
TaTi2W,107.66,Refractory HEA Elastic Constants (GitHub),242.77,135.11,6.97
NbTi2Zr,39.71000000000001,Refractory HEA Elastic Constants (GitHub),131.78,92.07,23.4
TaTi,83.74999999999999,Refractory HEA Elastic Constants (GitHub),198.39,114.64,48.19
HfNbTi2,61.99000000000001,Refractory HEA Elastic Constants (GitHub),152.09,90.1,32.36
NbTaVTiZr,39.389999999999986,Refractory HEA Elastic Constants (GitHub),171.73,132.34,39.38
NbTaTiHfZr,67.51,Refractory HEA Elastic Constants (GitHub),173.27,105.76,36.08
Cr3W,247.18,Refractory HEA Elastic Constants (GitHub),414.05,166.87,135.35
HfTa3,98.42999999999999,Refractory HEA Elastic Constants (GitHub),225.04,126.61,42.42
HfNbTa2,120.91999999999999,Refractory HEA Elastic Constants (GitHub),241.45,120.53,45.46
CrTa3,102.56000000000003,Refractory HEA Elastic Constants (GitHub),266.35,163.79,63.12
HfNbZr,91.06,Refractory HEA Elastic Constants (GitHub),167.62,76.56,28.83
Ta3Zr,86.57000000000001,Refractory HEA Elastic Constants (GitHub),210.37,123.8,39.87
NbTiZr2,57.84000000000002,Refractory HEA Elastic Constants (GitHub),133.08,75.24,24.45
NbTaWZr,125.03000000000003,Refractory HEA Elastic Constants (GitHub),259.54,134.51,43.86
CrNbTiV,79.47,Refractory HEA Elastic Constants (GitHub),222.79,143.32,20.0
Cr3Nb,181.5,Refractory HEA Elastic Constants (GitHub),338.14,156.64,114.91
HfNbTaTi,24.99000000000001,Refractory HEA Elastic Constants (GitHub),145.31,120.32,13.78
HfTa,113.17999999999999,Refractory HEA Elastic Constants (GitHub),207.19,94.01,59.06
NbTa2Zr,97.8,Refractory HEA Elastic Constants (GitHub),216.78,118.98,39.62
CrTi2W,91.72,Refractory HEA Elastic Constants (GitHub),240.23,148.51,38.39
TaZr3,50.41,Refractory HEA Elastic Constants (GitHub),132.23,81.82,16.72
HfTaTi,65.55000000000001,Refractory HEA Elastic Constants (GitHub),172.4,106.85,23.15
HfNbZr2,73.89999999999999,Refractory HEA Elastic Constants (GitHub),148.29,74.39,19.85
Nb2TiZr,38.19000000000001,Refractory HEA Elastic Constants (GitHub),155.77,117.58,14.58
HfTaTi2,57.000000000000014,Refractory HEA Elastic Constants (GitHub),145.99,88.99,36.88
Hf2NbZr,57.66999999999999,Refractory HEA Elastic Constants (GitHub),136.98,79.31,28.87
HfNb2V,70.93,Refractory HEA Elastic Constants (GitHub),191.87,120.94,24.84
CrTaTiV,119.08999999999997,Refractory HEA Elastic Constants (GitHub),267.95,148.86,33.14
TaTi2V,83.56,Refractory HEA Elastic Constants (GitHub),190.62,107.06,35.67
HfTaZr,64.81,Refractory HEA Elastic Constants (GitHub),158.88,94.07,26.96
HfNbTaZr,25.439999999999998,Refractory HEA Elastic Constants (GitHub),142.76,117.32,18.43
HfNb2Zr,43.97999999999999,Refractory HEA Elastic Constants (GitHub),154.95,110.97,21.22
HfNbTiZr,35.10000000000001,Refractory HEA Elastic Constants (GitHub),116.48,81.38,14.82
TaTiZr2,45.269999999999996,Refractory HEA Elastic Constants (GitHub),127.81,82.54,7.21
TaZr,93.81000000000002,Refractory HEA Elastic Constants (GitHub),213.02,119.21,46.89
HfTa2V,127.90000000000003,Refractory HEA Elastic Constants (GitHub),257.79,129.89,47.92
Hf2NbW,37.74000000000001,Refractory HEA Elastic Constants (GitHub),171.4,133.66,27.08
HfTaZr2,64.38999999999999,Refractory HEA Elastic Constants (GitHub),136.17,71.78,18.57
HfTaTiV,31.19999999999999,Refractory HEA Elastic Constants (GitHub),136.14,104.94,44.6
Hf2NbTa,111.66999999999999,Refractory HEA Elastic Constants (GitHub),199.2,87.53,25.01
HfTa2Ti,76.68,Refractory HEA Elastic Constants (GitHub),196.28,119.6,32.85
Hf2TaW,107.10999999999999,Refractory HEA Elastic Constants (GitHub),218.29,111.18,66.4
HfTa2Zr,72.72,Refractory HEA Elastic Constants (GitHub),183.29,110.57,11.85
NbTaZr2,85.97000000000003,Refractory HEA Elastic Constants (GitHub),305.48,219.51,34.22
