alloy_name,elastic_modulus,source,C11,C12,C44
MoVW,188.53000000000003,Refractory HEA Elastic Constants (GitHub),369.79,181.26,112.78
MoReTaW,253.94000000000003,Refractory HEA Elastic Constants (GitHub),452.54,198.6,129.88
CrNbReV,192.45000000000002,Refractory HEA Elastic Constants (GitHub),363.91,171.46,89.65
MoVW2,237.84,Refractory HEA Elastic Constants (GitHub),426.43,188.59,114.06
MoNbReW,259.53999999999996,Refractory HEA Elastic Constants (GitHub),450.58,191.04,129.31
ReTaTiVHf,94.25,Refractory HEA Elastic Constants (GitHub),264.62,170.37,68.75
VW3,249.73,Refractory HEA Elastic Constants (GitHub),443.9,194.17,134.0
MoTaW2,241.76,Refractory HEA Elastic Constants (GitHub),430.13,188.37,116.62
TaW3,255.5,Refractory HEA Elastic Constants (GitHub),449.26,193.76,133.18
MoNb,166.82,Refractory HEA Elastic Constants (GitHub),327.27,160.45,77.97
CrMoReV,235.51999999999998,Refractory HEA Elastic Constants (GitHub),422.71,187.19,113.65
MoTiVW,137.98000000000002,Refractory HEA Elastic Constants (GitHub),296.66,158.68,65.9
Mo2NbTi,74.99000000000001,Refractory HEA Elastic Constants (GitHub),244.46,169.47,35.05
MoTa2V,144.64000000000001,Refractory HEA Elastic Constants (GitHub),307.05,162.41,67.05
MoNbTaW,144.47000000000003,Refractory HEA Elastic Constants (GitHub),329.67,185.2,69.15
MoTiW,158.29,Refractory HEA Elastic Constants (GitHub),315.77,157.48,91.9
ReMoNbTiCr,185.51000000000002,Refractory HEA Elastic Constants (GitHub),348.17,162.66,90.07
MoNbTa2,107.67000000000002,Refractory HEA Elastic Constants (GitHub),278.06,170.39,47.02
CrMoTa2,144.96000000000004,Refractory HEA Elastic Constants (GitHub),316.85,171.89,63.2
CrMoV2,100.84,Refractory HEA Elastic Constants (GitHub),296.55,195.71,43.22
TiW3,186.93999999999997,Refractory HEA Elastic Constants (GitHub),373.09,186.15,108.35
NbTaW2,121.05999999999997,Refractory HEA Elastic Constants (GitHub),319.78,198.72,59.35
MoTi,119.52,Refractory HEA Elastic Constants (GitHub),247.06,127.54,46.22
ReMoVWCr,254.34000000000003,Refractory HEA Elastic Constants (GitHub),440.47,186.13,141.98
ReMoNbVCr,181.54999999999998,Refractory HEA Elastic Constants (GitHub),357.51,175.96,105.57
Mo3Nb,231.48999999999998,Refractory HEA Elastic Constants (GitHub),390.83,159.34,135.76
ReNbTiVHf,88.44,Refractory HEA Elastic Constants (GitHub),239.71,151.27,54.56
ReNbTaWCr,169.83999999999997,Refractory HEA Elastic Constants (GitHub),345.14,175.3,104.98
Mo2TiV,64.75999999999999,Refractory HEA Elastic Constants (GitHub),234.2,169.44,23.87
NbW3,232.59,Refractory HEA Elastic Constants (GitHub),425.24,192.65,125.03
TaW,181.12,Refractory HEA Elastic Constants (GitHub),369.01,187.89,76.29
MoNbW,191.31999999999996,Refractory HEA Elastic Constants (GitHub),365.65,174.33,109.87
VW,177.3,Refractory HEA Elastic Constants (GitHub),357.62,180.32,68.25
HfMo2Ta,94.63,Refractory HEA Elastic Constants (GitHub),253.37,158.74,39.08
MoTa2Ti,165.07999999999998,Refractory HEA Elastic Constants (GitHub),296.44,131.36,65.27
MoNbTa,129.43999999999997,Refractory HEA Elastic Constants (GitHub),291.71,162.27,62.0
ReNbTaVHf,114.07999999999998,Refractory HEA Elastic Constants (GitHub),275.07,160.99,64.94
MoTaTiW,116.69999999999996,Refractory HEA Elastic Constants (GitHub),285.53,168.83,58.6
MoNb2Ta,95.70000000000002,Refractory HEA Elastic Constants (GitHub),262.97,167.27,39.5
CrV,157.07999999999998,Refractory HEA Elastic Constants (GitHub),325.82,168.74,53.49
MoNbW2,204.13,Refractory HEA Elastic Constants (GitHub),395.06,190.93,98.57
NbReW2,245.95,Refractory HEA Elastic Constants (GitHub),447.58,201.63,116.99
MoNbVW,142.21,Refractory HEA Elastic Constants (GitHub),318.43,176.22,58.32
MoTa3,137.95,Refractory HEA Elastic Constants (GitHub),304.88,166.93,71.63
CrVW2,232.03,Refractory HEA Elastic Constants (GitHub),435.63,203.6,108.76
ReMoNbTaCr,183.94,Refractory HEA Elastic Constants (GitHub),365.82,181.88,108.79
MoNbTaVW,86.10000000000002,Refractory HEA Elastic Constants (GitHub),260.99,174.89,54.19
CrMoVW,215.55,Refractory HEA Elastic Constants (GitHub),393.41,177.86,101.61
TaVW2,119.19000000000003,Refractory HEA Elastic Constants (GitHub),321.29,202.1,51.15
MoNb3,98.0,Refractory HEA Elastic Constants (GitHub),251.41,153.41,68.16
MoNb2Ti,133.92,Refractory HEA Elastic Constants (GitHub),263.13,129.21,43.99
MoNbTaWTi,118.27000000000001,Refractory HEA Elastic Constants (GitHub),264.67,146.4,71.48
CrV2W,127.87,Refractory HEA Elastic Constants (GitHub),318.44,190.57,53.74
NbW,156.79999999999998,Refractory HEA Elastic Constants (GitHub),335.28,178.48,71.02
MoTaTi,130.65999999999997,Refractory HEA Elastic Constants (GitHub),268.52,137.86,56.0
MoTiW2,140.95000000000002,Refractory HEA Elastic Constants (GitHub),329.6,188.65,62.66
CrMoTaW,212.49,Refractory HEA Elastic Constants (GitHub),378.99,166.5,102.36
HfMo2Nb,82.72,Refractory HEA Elastic Constants (GitHub),240.09,157.37,31.39
CrMoNbTa,136.49,Refractory HEA Elastic Constants (GitHub),312.79,176.3,63.58
MoNb2V,87.00999999999999,Refractory HEA Elastic Constants (GitHub),252.37,165.36,40.19
MoTaV,120.06000000000003,Refractory HEA Elastic Constants (GitHub),296.66,176.6,73.61
V3W,149.93,Refractory HEA Elastic Constants (GitHub),310.75,160.82,73.89
CrMo2V,173.93000000000004,Refractory HEA Elastic Constants (GitHub),354.22,180.29,79.25
MoTiV,101.68,Refractory HEA Elastic Constants (GitHub),236.28,134.6,62.0
MoNbTiW,98.03999999999999,Refractory HEA Elastic Constants (GitHub),262.01,163.97,51.64
MoTaV2,89.22,Refractory HEA Elastic Constants (GitHub),264.81,175.59,31.37
MoTaVWTi,109.69,Refractory HEA Elastic Constants (GitHub),286.18,176.49,83.77
Cr2VW,204.03,Refractory HEA Elastic Constants (GitHub),373.94,169.91,102.48
CrMoTaV,110.51999999999998,Refractory HEA Elastic Constants (GitHub),295.84,185.32,47.98
MoTaTiV,125.08000000000001,Refractory HEA Elastic Constants (GitHub),261.8,136.72,59.9
NbTaW,130.52,Refractory HEA Elastic Constants (GitHub),308.17,177.65,63.68
MoNbTi,104.94,Refractory HEA Elastic Constants (GitHub),235.68,130.74,56.33
NbVW2,122.80999999999997,Refractory HEA Elastic Constants (GitHub),325.33,202.52,53.64
Ta2VW,160.69,Refractory HEA Elastic Constants (GitHub),319.43,158.74,78.2
CrV3,105.32000000000002,Refractory HEA Elastic Constants (GitHub),266.92,161.6,67.86
MoNbV,105.66,Refractory HEA Elastic Constants (GitHub),262.57,156.91,68.56
Cr2ReTa,232.39000000000001,Refractory HEA Elastic Constants (GitHub),421.6,189.21,117.53
MoNbVWTi,94.54999999999998,Refractory HEA Elastic Constants (GitHub),267.21,172.66,74.65
MoTaVWCr,162.60999999999999,Refractory HEA Elastic Constants (GitHub),335.01,172.4,99.08
MoNbV2,66.91,Refractory HEA Elastic Constants (GitHub),240.82,173.91,20.51
MoVWTiCr,145.60000000000002,Refractory HEA Elastic Constants (GitHub),305.49,159.89,79.74
Cr3V,242.89000000000001,Refractory HEA Elastic Constants (GitHub),395.24,152.35,143.81
CrMoTiW,132.41,Refractory HEA Elastic Constants (GitHub),304.38,171.97,58.35
MoTiV2,117.91999999999999,Refractory HEA Elastic Constants (GitHub),255.89,137.97,45.78
CrTa2W,157.27,Refractory HEA Elastic Constants (GitHub),352.74,195.47,69.07
MoTi3,79.22000000000001,Refractory HEA Elastic Constants (GitHub),183.71,104.49,48.01
ReMoTaWCr,224.10999999999999,Refractory HEA Elastic Constants (GitHub),429.71,205.6,140.76
MoNbTaV,86.78999999999999,Refractory HEA Elastic Constants (GitHub),261.58,174.79,42.5
Cr2MoV,176.98999999999998,Refractory HEA Elastic Constants (GitHub),355.14,178.15,84.72
Nb3W,93.92000000000002,Refractory HEA Elastic Constants (GitHub),264.18,170.26,60.14
Ta3W,153.84,Refractory HEA Elastic Constants (GitHub),324.06,170.22,74.23
TaV2W,123.32000000000002,Refractory HEA Elastic Constants (GitHub),300.66,177.34,51.6
CrMoV,189.73,Refractory HEA Elastic Constants (GitHub),344.5,154.77,116.1
CrMoNb2,143.01,Refractory HEA Elastic Constants (GitHub),303.15,160.14,64.71
Nb2TaW,108.94999999999999,Refractory HEA Elastic Constants (GitHub),278.65,169.7,50.49
MoNbVWCr,167.20999999999998,Refractory HEA Elastic Constants (GitHub),322.89,155.68,100.25
TaVW,129.56,Refractory HEA Elastic Constants (GitHub),309.11,179.55,77.19
CrMoNbV,125.47000000000003,Refractory HEA Elastic Constants (GitHub),297.86,172.39,60.0
Ta2TiW,174.96,Refractory HEA Elastic Constants (GitHub),311.05,136.09,75.96
TiV,101.62,Refractory HEA Elastic Constants (GitHub),198.71,97.09,27.56
MoTaWTiCr,159.93999999999997,Refractory HEA Elastic Constants (GitHub),326.34,166.4,84.36
CrMo2Ti,128.68,Refractory HEA Elastic Constants (GitHub),303.42,174.74,60.54
MoNbTaTi,45.879999999999995,Refractory HEA Elastic Constants (GitHub),201.17,155.29,39.1
CrMoNbW,177.46,Refractory HEA Elastic Constants (GitHub),317.37,139.91,91.56
MoNbTaWCr,203.3,Refractory HEA Elastic Constants (GitHub),375.06,171.76,115.47
Cr2NbRe,227.26,Refractory HEA Elastic Constants (GitHub),404.9,177.64,107.6
NbTiW,114.19,Refractory HEA Elastic Constants (GitHub),251.91,137.72,56.57
NbV2W,63.20000000000002,Refractory HEA Elastic Constants (GitHub),245.08,181.88,30.25
TaTiW2,145.19,Refractory HEA Elastic Constants (GitHub),311.3,166.11,77.84
CrMoTaTi,94.85999999999999,Refractory HEA Elastic Constants (GitHub),253.35,158.49,52.73
TiV2W,147.35000000000002,Refractory HEA Elastic Constants (GitHub),286.11,138.76,62.12
Nb2TiW,137.18,Refractory HEA Elastic Constants (GitHub),271.73,134.55,50.61
MoNbTaVTi,90.05000000000001,Refractory HEA Elastic Constants (GitHub),228.46,138.41,46.6
TaTiW,136.55,Refractory HEA Elastic Constants (GitHub),279.69,143.14,53.37
Nb2VW,94.12,Refractory HEA Elastic Constants (GitHub),266.31,172.19,51.63
CrMo2Ta,181.66999999999996,Refractory HEA Elastic Constants (GitHub),366.78,185.11,80.62
TiW,147.26,Refractory HEA Elastic Constants (GitHub),294.12,146.86,68.25
MoTaVTiCr,78.25,Refractory HEA Elastic Constants (GitHub),247.68,169.43,76.12
CrMoTiV,56.76999999999998,Refractory HEA Elastic Constants (GitHub),225.51,168.74,28.28
MoTaWTiHf,91.26000000000002,Refractory HEA Elastic Constants (GitHub),256.16,164.9,66.31
ReMoNbWCr,224.15000000000003,Refractory HEA Elastic Constants (GitHub),420.35,196.2,140.79
TiVW2,116.1,Refractory HEA Elastic Constants (GitHub),291.18,175.08,49.82
MoNbTiV,74.57,Refractory HEA Elastic Constants (GitHub),221.67,147.1,9.73
MoNbWTiCr,139.16000000000003,Refractory HEA Elastic Constants (GitHub),298.91,159.75,78.36
MoNbWTiHf,87.48000000000002,Refractory HEA Elastic Constants (GitHub),233.4,145.92,64.49
MoNbTaVCr,128.26,Refractory HEA Elastic Constants (GitHub),290.94,162.68,57.21
NbTiW2,132.3,Refractory HEA Elastic Constants (GitHub),298.87,166.57,67.85
CrTa2V,118.12999999999997,Refractory HEA Elastic Constants (GitHub),281.28,163.15,50.45
NbTaVW,112.22999999999999,Refractory HEA Elastic Constants (GitHub),283.89,171.66,51.76
MoReW2,302.95000000000005,Refractory HEA Elastic Constants (GitHub),513.82,210.87,148.95
CrMoNbTi,91.98000000000002,Refractory HEA Elastic Constants (GitHub),246.99,155.01,47.71
HfMoNb2,129.45000000000005,Refractory HEA Elastic Constants (GitHub),256.72,127.27,36.45
Cr2MoTa,163.6,Refractory HEA Elastic Constants (GitHub),341.56,177.96,77.33
HfMo2Ti,59.01000000000002,Refractory HEA Elastic Constants (GitHub),205.55,146.54,30.15
Cr2NbV,119.07999999999998,Refractory HEA Elastic Constants (GitHub),280.77,161.69,47.16
MoNbTaTiHf,96.28,Refractory HEA Elastic Constants (GitHub),239.87,143.59,59.09
MoNbTi2,69.07,Refractory HEA Elastic Constants (GitHub),201.34,132.27,3.92
NbTaTiW,124.39000000000001,Refractory HEA Elastic Constants (GitHub),271.37,146.98,58.58
MoNbTaWHf,83.08000000000001,Refractory HEA Elastic Constants (GitHub),249.36,166.28,82.52
HfMoTi,91.86000000000001,Refractory HEA Elastic Constants (GitHub),209.02,117.16,42.38
MoNbTiHfZr,45.019999999999996,Refractory HEA Elastic Constants (GitHub),170.47,125.45,34.53
HfMoTa2,155.31,Refractory HEA Elastic Constants (GitHub),281.2,125.89,53.47
NbTiVW,144.43000000000004,Refractory HEA Elastic Constants (GitHub),275.6,131.17,52.42
MoTi2W,77.58999999999997,Refractory HEA Elastic Constants (GitHub),234.67,157.08,26.67
Nb3Ti,61.849999999999994,Refractory HEA Elastic Constants (GitHub),190.94,129.09,38.71
HfMoNb,99.95000000000002,Refractory HEA Elastic Constants (GitHub),233.99,134.04,50.24
CrMoTi,108.45000000000002,Refractory HEA Elastic Constants (GitHub),258.37,149.92,74.0
MoTi2V,75.96999999999998,Refractory HEA Elastic Constants (GitHub),199.14,123.17,90.52
CrMo2Nb,190.76999999999998,Refractory HEA Elastic Constants (GitHub),368.15,177.38,77.04
NbTaVWCr,112.53999999999999,Refractory HEA Elastic Constants (GitHub),281.51,168.97,84.05
Ti3W,83.91000000000001,Refractory HEA Elastic Constants (GitHub),190.9,106.99,43.89
MoNbTaTiCr,107.64000000000001,Refractory HEA Elastic Constants (GitHub),277.04,169.4,70.62
MoNb2Zr,97.82,Refractory HEA Elastic Constants (GitHub),229.64,131.82,14.87
CrMoW2,239.14,Refractory HEA Elastic Constants (GitHub),442.13,202.99,115.48
Cr2MoNb,161.39000000000001,Refractory HEA Elastic Constants (GitHub),340.06,178.67,76.25
CrTiW2,136.86,Refractory HEA Elastic Constants (GitHub),327.56,190.7,57.07
MoNbTaHfZr,77.66,Refractory HEA Elastic Constants (GitHub),217.97,140.31,50.12
MoTaTiZr,97.57,Refractory HEA Elastic Constants (GitHub),214.88,117.31,19.39
NbTa2V,112.93,Refractory HEA Elastic Constants (GitHub),248.72,135.79,60.66
CrReW2,281.54999999999995,Refractory HEA Elastic Constants (GitHub),495.34,213.79,140.4
ReW3,306.46000000000004,Refractory HEA Elastic Constants (GitHub),528.38,221.92,138.96
MoNbTaZr,77.4,Refractory HEA Elastic Constants (GitHub),213.88,136.48,24.67
Cr2TiV,91.77000000000001,Refractory HEA Elastic Constants (GitHub),259.17,167.4,26.89
TaTiVW,134.26,Refractory HEA Elastic Constants (GitHub),278.06,143.8,52.95
Mo2ReW,260.19,Refractory HEA Elastic Constants (GitHub),469.44,209.25,130.82
NbV3,90.06,Refractory HEA Elastic Constants (GitHub),234.21,144.15,53.14
CrNbV2,69.85999999999999,Refractory HEA Elastic Constants (GitHub),233.44,163.58,24.69
HfMoTi2,88.05999999999999,Refractory HEA Elastic Constants (GitHub),194.35,106.29,26.68
NbTaV2,74.83999999999997,Refractory HEA Elastic Constants (GitHub),231.42,156.58,34.54
MoNbTaVHf,59.44,Refractory HEA Elastic Constants (GitHub),197.98,138.54,49.64
MoTi2Zr,72.87,Refractory HEA Elastic Constants (GitHub),174.94,102.07,18.73
Mo3Re,252.93,Refractory HEA Elastic Constants (GitHub),452.04,199.11,130.09
NbVWTiCr,82.25,Refractory HEA Elastic Constants (GitHub),248.03,165.78,59.97
CrNbW2,218.41,Refractory HEA Elastic Constants (GitHub),408.58,190.17,101.21
CrTaV2,87.13,Refractory HEA Elastic Constants (GitHub),252.43,165.3,10.38
Nb3V,84.03999999999999,Refractory HEA Elastic Constants (GitHub),225.73,141.69,52.81
NbTaTi,84.6,Refractory HEA Elastic Constants (GitHub),212.63,128.03,38.38
CrTiV2,106.0,Refractory HEA Elastic Constants (GitHub),243.58,137.58,20.07
TaV3,98.82,Refractory HEA Elastic Constants (GitHub),250.29,151.47,57.27
Hf2MoTi,98.91,Refractory HEA Elastic Constants (GitHub),195.32,96.41,32.98
NbTaWTiCr,84.18,Refractory HEA Elastic Constants (GitHub),250.78,166.6,74.49
CrTiVW,115.38000000000002,Refractory HEA Elastic Constants (GitHub),281.55,166.17,60.45
HfMoTa,134.72,Refractory HEA Elastic Constants (GitHub),285.01,150.29,59.25
CrTaVW,119.45000000000002,Refractory HEA Elastic Constants (GitHub),307.11,187.66,51.51
Nb2TaTi,58.69999999999999,Refractory HEA Elastic Constants (GitHub),200.85,142.15,28.53
CrNb2V,56.02000000000001,Refractory HEA Elastic Constants (GitHub),221.96,165.94,21.33
CrMoTa,181.39,Refractory HEA Elastic Constants (GitHub),343.95,162.56,110.26
NbTa2Ti,105.9,Refractory HEA Elastic Constants (GitHub),237.05,131.15,44.79
HfNb3,72.61999999999999,Refractory HEA Elastic Constants (GitHub),193.6,120.98,40.69
TiV3,81.45999999999998,Refractory HEA Elastic Constants (GitHub),210.51,129.05,50.61
CrNbTaW,104.88,Refractory HEA Elastic Constants (GitHub),266.07,161.19,57.46
CrMoTi2,64.19999999999999,Refractory HEA Elastic Constants (GitHub),204.92,140.72,31.96
HfMoNbTi,80.42999999999999,Refractory HEA Elastic Constants (GitHub),208.19,127.76,23.15
CrTiW,122.17999999999998,Refractory HEA Elastic Constants (GitHub),284.89,162.71,80.71
Nb2TaV,75.49000000000001,Refractory HEA Elastic Constants (GitHub),228.56,153.07,31.66
NbTi3,83.67999999999999,Refractory HEA Elastic Constants (GitHub),172.7,89.02,37.57
NbV,90.35,Refractory HEA Elastic Constants (GitHub),228.62,138.27,32.32
HfNb2W,135.54000000000002,Refractory HEA Elastic Constants (GitHub),264.74,129.2,40.35
HfTaW2,150.89999999999998,Refractory HEA Elastic Constants (GitHub),309.28,158.38,68.66
HfMoNbW,123.94999999999999,Refractory HEA Elastic Constants (GitHub),279.65,155.7,61.0
Cr2MoW,226.03,Refractory HEA Elastic Constants (GitHub),419.19,193.16,116.64
NbTaV,85.97,Refractory HEA Elastic Constants (GitHub),236.76,150.79,50.08
HfMoNbTa,107.25999999999999,Refractory HEA Elastic Constants (GitHub),248.29,141.03,50.67
Cr2ReW,257.95000000000005,Refractory HEA Elastic Constants (GitHub),461.23,203.28,130.59
Ta3V,110.79000000000002,Refractory HEA Elastic Constants (GitHub),264.93,154.14,53.31
HfNb,96.0,Refractory HEA Elastic Constants (GitHub),188.16,92.16,35.26
CrMo2W,239.07999999999998,Refractory HEA Elastic Constants (GitHub),423.03,183.95,118.52
MoReW,282.44000000000005,Refractory HEA Elastic Constants (GitHub),505.86,223.42,129.14
NbTi,77.06,Refractory HEA Elastic Constants (GitHub),185.81,108.75,28.03
