material_id,alloy_name,elastic_modulus,bulk_modulus,shear_modulus,density,formation_energy,elements,num_elements,nsites,source
mp-1008873,MnCoSe,82.93371321076096,118.385,29.978,7.187685317554166,-0.209525096758261,"Co,Mn,Se",3,3,Materials Project
mp-1008876,MnCoS,38.517489146698466,133.924,13.263,6.021095870706779,-0.21196902514367802,"Co,Mn,S",3,3,Materials Project
mp-1018015,Ti2MnGe,91.93692570579496,140.634,33.046,6.587640041524861,-0.24415239989942603,"Ge,Mn,Ti",3,4,Materials Project
mp-10194,LuSbPt,129.61752451515866,104.751,50.093,11.987353061378391,-1.3663540288888871,"Lu,Pt,Sb",3,3,Materials Project
mp-10180,Li2SbPd,72.00266280985338,68.437,27.178,6.3154224374604695,-0.713076248333331,"Li,Pd,Sb",3,4,Materials Project
mp-10184,MgSbPt,93.54698647279662,88.916,35.31,9.124191000616669,-0.700549848333336,"Mg,Pt,Sb",3,3,Materials Project
mp-1024957,TmInCu4,142.48226886759352,109.749,55.5,9.881723044115095,-0.32792603333333104,"Cu,In,Tm",3,6,Materials Project
mp-1018135,LiCdAs,73.42544984597954,46.596,29.67,5.217348167651282,-0.46004126361110903,"As,Cd,Li",3,3,Materials Project
mp-12546,TiCu3,138.29855643283156,141.202,51.729,7.862372846596318,-0.09277989916666601,"Cu,Ti",2,8,Materials Project
mp-12802,AlCu3,124.66494180896731,131.586,46.444,7.517442305877194,-0.20196853,"Al,Cu",2,8,Materials Project
mp-11506,Ni3Mo,239.75159442133992,214.444,91.253,9.769613810100632,-0.052448666249999006,"Mo,Ni",2,8,Materials Project
mp-1451,NbNi3,206.4510721072644,205.078,77.484,9.201398899391465,-0.29261873875,"Nb,Ni",2,8,Materials Project
mp-581786,Cu3Sn,96.89702335160572,106.169,35.944,9.180080450587498,0.033498218750001,"Cu,Sn",2,8,Materials Project
mp-999192,SiNi,220.2995916564377,173.822,85.469,6.382796794419367,-0.40879569750000005,"Ni,Si",2,4,Materials Project
mp-891,TaNi3,219.35690606483874,218.124,82.317,12.337173801007728,-0.323410231833332,"Ni,Ta",2,8,Materials Project
mp-1042,HfSi,237.3918058520457,151.342,95.833,10.15822872072195,-0.8552623112500011,"Hf,Si",2,8,Materials Project
mp-1118,SiNi2,173.32118313944835,191.4,64.237,7.57250288216039,-0.5239610841666671,"Ni,Si",2,12,Materials Project
mp-1188441,TiCu4,140.7607802784998,141.045,52.772,8.134100168275264,-0.08592577333333301,"Cu,Ti",2,20,Materials Project
