Model,Measured R²,Measured RMSE,Measured MAE,Combined R²,Combined RMSE,Combined MAE,R² Improvement
GB,0.6992,47.77,32.58,0.0951,62.43,37.43,-0.6040
L,0.3318,71.19,44.40,0.1468,60.62,38.64,-0.1850
LIN,-1.1157,126.68,75.57,0.1163,61.70,40.56,1.2320
R,0.1545,80.08,47.25,0.1058,62.06,39.50,-0.0487
RF,0.3342,71.06,49.28,0.1707,59.77,35.58,-0.1635
SVR,-0.0549,89.45,55.28,0.2126,58.24,34.44,0.2674
