alloy_name,elastic_modulus,composition,phases,yield_strength,ultimate_strength,hardness,elongation,density,mixing_entropy,mixing_enthalpy,valence_electron,year,notes,source
AcAgHg2,2.734943511635012,,,,,,,11.341115452937505,,,,,,Materials Project
Ba2YSbO6,3.196533582672044,,,,,,,4.694802858661442,,,,,,Materials Project
CsMnI3,7.286509435177434,,,,,,,4.549246094400322,,,,,,Materials Project
NbTi2W,7.310000000000002,,,,,,,,,,,,,Refractory HEA Elastic Constants
BaNaHg2,7.76355916558981,,,,,,,7.380579484622438,,,,,,Materials Project
BaTiO3,9.266069401386115,,,,,,,3.853397781060053,,,,,,Materials Project
CsTiI3,9.296215139442232,,,,,,,4.502682960459563,,,,,,Materials Project
LaHgAu2,9.51260923336445,,,,,,,13.036598128221875,,,,,,Materials Project
LiCdAs,9.53163957636644,,,,,,,5.601101483428663,,,,,,Materials Project
TlFeSe2,9.549122530998815,,,,,,,6.460626671353584,,,,,,Materials Project
BaNaSn,9.799018817708776,,,,,,,4.059105425456869,,,,,,Materials Project
Rb2PdI6,10.335461649969396,,,,,,,4.596386465947368,,,,,,Materials Project
VGePt,11.442778145657638,,,,,,,10.32858097323463,,,,,,Materials Project
Rb2WBr6,11.443256695165182,,,,,,,4.684212576811302,,,,,,Materials Project
CsRbP,11.559878586051592,,,,,,,2.866470662524848,,,,,,Materials Project
BeGeB,11.843067086022238,,,,,,,4.541540805732744,,,,,,Materials Project
LiCdP,11.974600853436366,,,,,,,4.720976315834017,,,,,,Materials Project
Na3SbS4,12.350688217971893,,,,,,,2.877687677818424,,,,,,Materials Project
Rb2HgAu,12.528839133948225,,,,,,,5.849601284169863,,,,,,Materials Project
K2TaCl6,12.747472855526397,,,,,,,3.253945402135154,,,,,,Materials Project
Rb2WCl6,12.778836787768936,,,,,,,3.705121271084358,,,,,,Materials Project
Ba3BiN,13.027039052496797,,,,,,,3.65087216507948,,,,,,Materials Project
LiAlGe,13.26474258098015,,,,,,,3.478327602587269,,,,,,Materials Project
K2WCl6,13.2898397093396,,,,,,,3.312841582813186,,,,,,Materials Project
Cs2NaCaCl6,13.458629512610068,,,,,,,2.733367181842466,,,,,,Materials Project
Li3CrS4,13.735211306719568,,,,,,,1.594135362773154,,,,,,Materials Project
RbFeSe2,13.802588416524204,,,,,,,4.261149152394929,,,,,,Materials Project
K2OsBr6,13.810760288859283,,,,,,,4.500005281766976,,,,,,Materials Project
SnPt3C,13.823133138389926,,,,,,,14.974052617304,,,,,,Materials Project
LiTbHg2,13.825981017748282,,,,,,,10.68612886585197,,,,,,Materials Project
Tl2WCl6,14.090638501102134,,,,,,,5.561511208592032,,,,,,Materials Project
Mg2TlPb,14.143002527929546,,,,,,,7.625227951909469,,,,,,Materials Project
Ba2YbSbO6,14.533735965056024,,,,,,,5.545225586217616,,,,,,Materials Project
V3Sn,15.206617541159552,,,,,,,7.486789810736877,,,,,,Materials Project
SrTlHg2,15.276309384712327,,,,,,,10.32980642391768,,,,,,Materials Project
Cs2CoS2,15.685177299245025,,,,,,,4.016914733976199,,,,,,Materials Project
LiZrAu2,15.757464160024348,,,,,,,11.494333916148095,,,,,,Materials Project
AlFe,15.779133052063854,,,,,,,4.614313908264683,,,,,,Materials Project
RbTiBr3,15.89499435260294,,,,,,,3.925362134670415,,,,,,Materials Project
KTl2Bi,16.118478306820954,,,,,,,8.19850959372973,,,,,,Materials Project
Na2LiTa,16.175315516311677,,,,,,,4.229174258310453,,,,,,Materials Project
PmMgAg2,16.185078939828077,,,,,,,7.237387697486897,,,,,,Materials Project
BaSrYb2,16.37102916203496,,,,,,,5.84418381228494,,,,,,Materials Project
LiAcTl2,17.474609303464096,,,,,,,9.082872433544432,,,,,,Materials Project
In2AgSe4,17.7672162058043,,,,,,,5.207535637208343,,,,,,Materials Project
Yb3GaC,17.923484728166375,,,,,,,9.51891215910922,,,,,,Materials Project
PmHgAu2,18.04895370430177,,,,,,,13.942245981215471,,,,,,Materials Project
CsTiBr3,18.36725509040216,,,,,,,4.240053185266904,,,,,,Materials Project
NaMgPb2,18.37306952995945,,,,,,,7.318520134363223,,,,,,Materials Project
CdAgSb,18.57712586887814,,,,,,,7.571743461499784,,,,,,Materials Project
PmCdAu2,18.76087805298617,,,,,,,12.413180954600469,,,,,,Materials Project
SmMgAg2,19.312323345900868,,,,,,,7.41703819860882,,,,,,Materials Project
LiCe2Ru,19.43702881391811,,,,,,,7.451581648969454,,,,,,Materials Project
Na2CdHg,19.602246550231683,,,,,,,5.945469971725116,,,,,,Materials Project
Cs2CrCl4,19.777353500344905,,,,,,,3.478393037653386,,,,,,Materials Project
KFeSe2,19.861218023569283,,,,,,,3.886980834085917,,,,,,Materials Project
Rb2Cr(BrCl)2,19.869361817198488,,,,,,,3.398924682821847,,,,,,Materials Project
Ba3SbN,20.11943139924939,,,,,,,3.281609293133699,,,,,,Materials Project
CrGeTe3,20.29079236423477,,,,,,,5.675113858694391,,,,,,Materials Project
NaTl2Cd,20.64135346764672,,,,,,,8.655172780736356,,,,,,Materials Project
RbTiCl3,20.75054554116826,,,,,,,3.080567691104509,,,,,,Materials Project
KTmI3,20.764505167370817,,,,,,,5.053390305992179,,,,,,Materials Project
RbFeS2,21.13946177239827,,,,,,,3.237919652662237,,,,,,Materials Project
HfAlPd2,21.356133579897747,,,,,,,10.705462494199327,,,,,,Materials Project
Zn(InS2)2,21.63597531593493,,,,,,,3.727881447645854,,,,,,Materials Project
HgRhF6,21.84448442452727,,,,,,,6.260148678143384,,,,,,Materials Project
AcTlHg2,21.93499845169208,,,,,,,12.09441054837504,,,,,,Materials Project
NaCdHg2,22.12283502736513,,,,,,,9.67706299592569,,,,,,Materials Project
NbTaVTiCr,22.19999999999999,,,,,,,,,,,,,Refractory HEA Elastic Constants
Cu2SnSe4,22.222934368972528,,,,,,,5.508531444258362,,,,,,Materials Project
CsHgBr3,22.33065134683897,,,,,,,5.153218960924287,,,,,,Materials Project
CsInBr3,22.334334486829786,,,,,,,4.39103965595892,,,,,,Materials Project
CaSbF6,22.42273084794021,,,,,,,3.125413272193245,,,,,,Materials Project
Ca3PbN,22.526544397185063,,,,,,,2.686214811134139,,,,,,Materials Project
KMnAs,22.589171380018765,,,,,,,3.681401900788781,,,,,,Materials Project
SmCdAu2,22.71106498309383,,,,,,,12.620614336533068,,,,,,Materials Project
YbInHg2,22.7961288248848,,,,,,,12.472769125554096,,,,,,Materials Project
KMnP,22.80701512984401,,,,,,,2.71324409464152,,,,,,Materials Project
Ba3BiP,22.856687817258884,,,,,,,3.867919333462223,,,,,,Materials Project
KFeS2,22.983718775140787,,,,,,,2.734420663058496,,,,,,Materials Project
K3Fe(CN)6,23.001406139514863,,,,,,,1.810828378625838,,,,,,Materials Project
CsTiCl3,23.03117379377118,,,,,,,3.393342944862752,,,,,,Materials Project
SmCdAg2,23.12425316144061,,,,,,,9.163330571416122,,,,,,Materials Project
SrMgTl2,23.127932439858345,,,,,,,7.613362748693444,,,,,,Materials Project
RbFe2Se3,23.23359790250253,,,,,,,4.495597991849958,,,,,,Materials Project
BaTlHg2,23.24256324400596,,,,,,,10.063953200497815,,,,,,Materials Project
Tl2SnTe5,23.27832654516287,,,,,,,6.945383300603817,,,,,,Materials Project
Ba2TlBi2O7,23.31611217306016,,,,,,,6.898054453674889,,,,,,Materials Project
KCdSb,23.49269746301067,,,,,,,4.669020573705978,,,,,,Materials Project
K3ReH6,23.53166124883904,,,,,,,3.172136336988902,,,,,,Materials Project
Ba3BiAs,23.62039580712788,,,,,,,4.10506710546045,,,,,,Materials Project
Na6ZnSn2,23.623165954945456,,,,,,,2.9186158908283693,,,,,,Materials Project
LiSbAu,23.62622019796384,,,,,,,8.080207579977742,,,,,,Materials Project
RbMnP,23.71475272647835,,,,,,,2.733473778588179,,,,,,Materials Project
Ta2PdSe6,23.80043697111176,,,,,,,7.398607161598863,,,,,,Materials Project
LiCa2Mg,23.920687534337272,,,,,,,1.451369763444217,,,,,,Materials Project
Tl2PdSe2,23.93374988512349,,,,,,,8.536604794162354,,,,,,Materials Project
Rb2CrCl4,23.971199156614407,,,,,,,2.998807258917417,,,,,,Materials Project
Li2TlAu,23.981579220993,,,,,,,9.27643347278775,,,,,,Materials Project
BaHg2Pb,23.99762273003736,,,,,,,10.04629233357604,,,,,,Materials Project
NaTl2Bi,24.17858718064637,,,,,,,8.784361135381536,,,,,,Materials Project
La2AgRu,24.37747972664537,,,,,,,8.077570643652567,,,,,,Materials Project
Pr3InC,24.43696270908371,,,,,,,4.602214126400706,,,,,,Materials Project
Ca3SnN,24.50021656218491,,,,,,,2.048296983202054,,,,,,Materials Project
RbMnBi,24.553105661242267,,,,,,,5.536925794424969,,,,,,Materials Project
ScHCl,24.581892096758075,,,,,,,2.768377980392532,,,,,,Materials Project
CrCdTe2,24.60424637692796,,,,,,,5.2338190520093,,,,,,Materials Project
Cs2TmH4,24.64089581304772,,,,,,,4.648703189596628,,,,,,Materials Project
BTe2As,24.656806684176544,,,,,,,6.713955219597869,,,,,,Materials Project
Sr2Cu(IO)2,24.767880088107304,,,,,,,5.111788396202683,,,,,,Materials Project
HfNbTaTi,24.99000000000001,,,,,,,,,,,,,Refractory HEA Elastic Constants
Tl2CuF4,25.01775165823782,,,,,,,7.8113830578741394,,,,,,Materials Project
LiAg2Pb,25.042906805530613,,,,,,,9.07591885287057,,,,,,Materials Project
Cs2TlSiH6,25.285515760507003,,,,,,,4.627632632530177,,,,,,Materials Project
Ba3BiSb,25.426163045254043,,,,,,,4.316539038767182,,,,,,Materials Project
HfNbTaZr,25.44,,,,,,,,,,,,,Refractory HEA Elastic Constants
NaTeAu,25.44386006617312,,,,,,,7.235588046782435,,,,,,Materials Project
LiLaHg2,25.5518598590816,,,,,,,9.091513390372596,,,,,,Materials Project
CrGeRh,25.592473652793444,,,,,,,7.681429408612081,,,,,,Materials Project
LiCdAg2,25.66092546380977,,,,,,,7.985703618874868,,,,,,Materials Project
RbCaO3,25.672156655224285,,,,,,,2.928769450282601,,,,,,Materials Project
Ba3SbP,25.672830867999828,,,,,,,3.440789724829294,,,,,,Materials Project
NaInHg2,25.75632915328013,,,,,,,9.304542760188069,,,,,,Materials Project
CuAgTe2,26.06678134437949,,,,,,,6.887896844095928,,,,,,Materials Project
ZrV2,26.08109858903333,,,,,,,6.500877243380367,,,,,,Materials Project
Pr3AlN,26.090219685917795,,,,,,,4.414446347963168,,,,,,Materials Project
TlFeS2,26.09034675443062,,,,,,,5.837664363553149,,,,,,Materials Project
