,Co,Cr,Fe,Ni,Mn,Al,Cu,Mo,Strength
0,0.07692307692307693,0.0,0.0,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.0,0.0,160.5
1,0.14285714285714285,0.0,0.0,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.0,0.0,345.5
2,0.2,0.0,0.0,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.0,0.0,793.5
3,0.25,0.0,0.0,0.25,0.25,0.25,0.0,0.0,963.5
4,0.25,0.25,0.0,0.25,0.0,0.25,0.0,0.0,1410.0
5,0.0,0.25,0.0,0.25,0.25,0.25,0.0,0.0,147.5
6,0.0,0.0,0.25,0.25,0.25,0.25,0.0,0.0,170.0
7,0.0,0.25,0.25,0.0,0.25,0.25,0.0,0.0,282.0
8,0.175,0.25,0.0,0.25,0.075,0.25,0.0,0.0,2030.0
9,0.2,0.2,0.0,0.2,0.2,0.2,0.0,0.0,1140.0
10,0.23809523809523808,0.23809523809523808,0.0,0.23809523809523808,0.0,0.23809523809523808,0.0,0.047619047619047616,1490.0
11,0.2222222222222222,0.2222222222222222,0.0,0.2222222222222222,0.0,0.2222222222222222,0.0,0.1111111111111111,1750.0
12,0.20833333333333334,0.20833333333333334,0.0,0.20833333333333334,0.0,0.20833333333333334,0.0,0.16666666666666669,1510.0
13,0.0,0.2,0.0,0.2,0.2,0.2,0.2,0.0,230.0
14,0.0,0.2,0.2,0.2,0.2,0.2,0.0,0.0,207.5
15,0.038461538461538464,0.1923076923076923,0.1923076923076923,0.1923076923076923,0.1923076923076923,0.1923076923076923,0.0,0.0,219.5
16,0.07063197026022305,0.1858736059479554,0.1858736059479554,0.1858736059479554,0.1858736059479554,0.1858736059479554,0.0,0.0,243.5
17,0.07918968692449356,0.1841620626151013,0.1841620626151013,0.1841620626151013,0.1841620626151013,0.1841620626151013,0.0,0.0,284.5
18,0.08925318761384335,0.18214936247723132,0.18214936247723132,0.18214936247723132,0.18214936247723132,0.18214936247723132,0.0,0.0,330.5
19,0.10071942446043165,0.17985611510791366,0.17985611510791366,0.17985611510791366,0.17985611510791366,0.17985611510791366,0.0,0.0,525.5
20,0.11032028469750889,0.17793594306049823,0.17793594306049823,0.17793594306049823,0.17793594306049823,0.17793594306049823,0.0,0.0,832.5
21,0.19607843137254904,0.19607843137254904,0.0,0.19607843137254904,0.19607843137254904,0.19607843137254904,0.0,0.019607843137254905,1800.0
22,0.1923076923076923,0.1923076923076923,0.0,0.1923076923076923,0.1923076923076923,0.1923076923076923,0.0,0.038461538461538464,2460.0
23,0.18867924528301888,0.18867924528301888,0.0,0.18867924528301888,0.18867924528301888,0.18867924528301888,0.0,0.05660377358490566,2650.0
24,0.18518518518518517,0.18518518518518517,0.0,0.18518518518518517,0.18518518518518517,0.18518518518518517,0.0,0.07407407407407407,2670.0
25,0.18181818181818182,0.18181818181818182,0.0,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.0,0.09090909090909091,2760.0
26,0.09090909090909091,0.18181818181818182,0.0,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.0,388.0
27,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,950.0
28,0.2857142857142857,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,1620.0
29,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,1000.0
