alloy_name,elastic_modulus,density,hardness,yield_strength,ultimate_strength,elongation,phases,source
CoCrFeMnNiV0.25,215.0,7.9,151.0,200.0,,75,FCC,Gorsse Dataset
CoCrFeMnNiV0.5,211.0,7.8,186.0,620.0,,75,FCC,Gorsse Dataset
Al0.10CoCrFeMnNi,216.0,7.9,180.0,,,,FCC,Gorsse Dataset
Al0.20CoCrFeMnNi,214.0,7.7,171.0,220.0,,56,FCC,Gorsse Dataset
Al0.38CoCrFeMnNi,209.0,7.5,182.0,244.0,,45,FCC,Gorsse Dataset
Al0.43CoCrFeMnNi,208.0,7.4,183.0,285.0,,35,FCC + BCC,Gorsse Dataset
Al0.49CoCrFeMnNi,206.0,7.4,220.0,331.0,,29,FCC + BCC,Gorsse Dataset
Al0.56CoCrFeMnNi,204.0,7.3,278.0,526.0,,16,FCC + BCC,Gorsse Dataset
Al0.62CoCrFeMnNi,203.0,7.2,405.0,833.0,,5,FCC + BCC,Gorsse Dataset
Al0.68CoCrFeMnNi,202.0,7.2,486.0,,,,FCC + BCC,Gorsse Dataset
Al0.75CoCrFeMnNi,200.0,7.1,530.0,,,,FCC + BCC,Gorsse Dataset
Al0.81CoCrFeMnNi,199.0,7.0,539.0,,,,FCC + BCC,Gorsse Dataset
Al0.88CoCrFeMnNi,197.0,7.0,533.0,,,,FCC + BCC,Gorsse Dataset
Al0.95CoCrFeMnNi,196.0,6.9,535.0,,,,FCC + BCC,Gorsse Dataset
Al1.25CoCrFeMnNi,190.0,6.6,539.0,,,,BCC,Gorsse Dataset
CoCrNi,229.0,8.3,,300.0,860.0,60,FCC,Gorsse Dataset
CoMnNi,202.0,8.4,,231.0,653.0,38,FCC,Gorsse Dataset
FeMnNi,203.0,8.1,,221.0,602.0,36,FCC,Gorsse Dataset
CoCrFeNi,225.0,8.2,,274.0,708.0,39,FCC,Gorsse Dataset
CoCrMnNi,222.0,8.1,,282.0,694.0,44,FCC,Gorsse Dataset
CoFeMnNi,205.0,8.2,,170.0,550.0,41,FCC,Gorsse Dataset
Al0.5CrFe1.5MnNi0.5,206.0,7.0,396.0,,,,BCC,Gorsse Dataset
Al0.3CrFe1.5MnNi0.5,213.0,7.2,297.0,,,,FCC + BCC,Gorsse Dataset
AlCrFeNi,190.0,6.3,472.0,1406.0,2927.0,29,BCC + B2,Gorsse Dataset
AlCrFeNiMo0.2,197.0,6.5,549.0,1487.0,3222.0,29,BCC + B2,Gorsse Dataset
AlCrFeNiMo0.5,205.0,6.8,622.0,1749.0,2644.0,13,BCC + B2,Gorsse Dataset
CoCrCuFe,206.0,8.2,134.0,,,,FCC,Gorsse Dataset
Al0.3CoCrCuFe,194.0,7.7,180.0,,,,FCC,Gorsse Dataset
Al0.5CoCrCuFe,187.0,7.4,207.0,,,,FCC,Gorsse Dataset
Al0.8CoCrCuFe,177.0,7.0,271.0,,,,FCC + BCC,Gorsse Dataset
AlCoCrCuFe,172.0,6.8,407.0,,,,FCC + BCC,Gorsse Dataset
Al1.3CoCrCuFe,165.0,6.5,476.0,,,,FCC + BCC,Gorsse Dataset
Al1.5CoCrCuFe,167.0,6.3,510.0,,,,FCC + BCC,Gorsse Dataset
