alloy_name,elastic_modulus,source,data_type,formula,reference_id
Hf0.25 Nb0.375 Ti1 V0.5 Zr0.5,100.0,MPEA Nano-indentation (calculated),calculated,Hf0.25 Nb0.375 Ti1 V0.5 Zr0.5,239
Hf0.25 Nb0.5 Ti1 V0.5 Zr0.5,101.0,MPEA Nano-indentation (calculated),calculated,Hf0.25 Nb0.5 Ti1 V0.5 Zr0.5,239
Hf0.25 Nb0.5 Ti1 V0.5 Zr0.5,101.0,MPEA Nano-indentation (calculated),calculated,Hf0.25 Nb0.5 Ti1 V0.5 Zr0.5,239
Hf0.25 Nb0.5 Ti1 V0.5 Zr0.5,101.0,MPEA Nano-indentation (calculated),calculated,Hf0.25 Nb0.5 Ti1 V0.5 Zr0.5,239
Cr1 Fe1 Mn1 Ni1,222.0,MPEA Nano-indentation (calculated),calculated,Cr1 Fe1 Mn1 Ni1,247
Co0.25 Cr0.25 Fe1 Mn1,212.0,MPEA Nano-indentation (calculated),calculated,Co0.25 Cr0.25 Fe1 Mn1,248
Co0.25 Cr0.25 Fe1 Mn1,212.0,MPEA Nano-indentation (calculated),calculated,Co0.25 Cr0.25 Fe1 Mn1,248
Co0.25 Cr0.25 Fe1 Mn1,212.0,MPEA Nano-indentation (calculated),calculated,Co0.25 Cr0.25 Fe1 Mn1,248
Co0.25 Cr0.25 Fe1 Mn1,212.0,MPEA Nano-indentation (calculated),calculated,Co0.25 Cr0.25 Fe1 Mn1,248
Co0.25 Cr0.25 Fe1 Mn1,212.0,MPEA Nano-indentation (calculated),calculated,Co0.25 Cr0.25 Fe1 Mn1,248
Co0.25 Cr0.25 Fe1 Mn1,212.0,MPEA Nano-indentation (calculated),calculated,Co0.25 Cr0.25 Fe1 Mn1,248
Co1 Cr1 Fe1 Mn1 Ni1,220.0,MPEA Nano-indentation (calculated),calculated,Co1 Cr1 Fe1 Mn1 Ni1,249
Al0.5 Nb1 Ta0.5 Ti1 Zr1,102.0,MPEA Nano-indentation (calculated),calculated,Al0.5 Nb1 Ta0.5 Ti1 Zr1,250
Mo1 Nb1 Ta1 W1,250.0,MPEA Nano-indentation (calculated),calculated,Mo1 Nb1 Ta1 W1,251
Mo1 Nb1 Ta1 W1,250.0,MPEA Nano-indentation (calculated),calculated,Mo1 Nb1 Ta1 W1,251
Mo1 Nb1 Ta1 W1,250.0,MPEA Nano-indentation (calculated),calculated,Mo1 Nb1 Ta1 W1,251
Mo1 Nb1 Ta1 W1,250.0,MPEA Nano-indentation (calculated),calculated,Mo1 Nb1 Ta1 W1,251
Mo1 Nb1 Ta1 W1,250.0,MPEA Nano-indentation (calculated),calculated,Mo1 Nb1 Ta1 W1,251
Co1 Cr1 Fe1 Mn1 Ni1,220.0,MPEA Nano-indentation (calculated),calculated,Co1 Cr1 Fe1 Mn1 Ni1,252
Co1 Cr1 Fe1 Mn1 Ni1,220.0,MPEA Nano-indentation (calculated),calculated,Co1 Cr1 Fe1 Mn1 Ni1,252
Co1 Cr1 Fe1 Mn1 Ni1,220.0,MPEA Nano-indentation (calculated),calculated,Co1 Cr1 Fe1 Mn1 Ni1,252
Co1 Cr1 Fe1 Mn1 Ni1,220.0,MPEA Nano-indentation (calculated),calculated,Co1 Cr1 Fe1 Mn1 Ni1,252
Co1 Cr1 Fe1 Mn1 Ni1,220.0,MPEA Nano-indentation (calculated),calculated,Co1 Cr1 Fe1 Mn1 Ni1,252
Co1 Cr1 Fe1 Mn1 Ni1,220.0,MPEA Nano-indentation (calculated),calculated,Co1 Cr1 Fe1 Mn1 Ni1,252
Co1 Cr1 Fe1 Mn1 Ni1,220.0,MPEA Nano-indentation (calculated),calculated,Co1 Cr1 Fe1 Mn1 Ni1,252
Co1 Cr1 Fe1 Mn1 Ni1,220.0,MPEA Nano-indentation (calculated),calculated,Co1 Cr1 Fe1 Mn1 Ni1,252
Co1 Cr1 Fe1 Mn1 Ni1,220.0,MPEA Nano-indentation (calculated),calculated,Co1 Cr1 Fe1 Mn1 Ni1,252
Co1 Cr1 Fe1 Mn1 Ni1,220.0,MPEA Nano-indentation (calculated),calculated,Co1 Cr1 Fe1 Mn1 Ni1,252
Co1 Cr1 Fe1 Mn1 Ni1,220.0,MPEA Nano-indentation (calculated),calculated,Co1 Cr1 Fe1 Mn1 Ni1,252
Co1 Cr1 Fe1 Ni1,226.0,MPEA Nano-indentation (calculated),calculated,Co1 Cr1 Fe1 Ni1,255
Al1 Co1 Cr1 Fe1 Ni1,184.0,MPEA Nano-indentation (calculated),calculated,Al1 Co1 Cr1 Fe1 Ni1,255
Al1 Co0.5 Cr0.5 Fe0.5 Ni0.5,160.0,MPEA Nano-indentation (calculated),calculated,Al1 Co0.5 Cr0.5 Fe0.5 Ni0.5,255
Al0.3 Co1 Cr1 Fe1 Ni1,210.0,MPEA Nano-indentation (calculated),calculated,Al0.3 Co1 Cr1 Fe1 Ni1,258
Al0.3 Co1 Cr1 Fe1 Mo0.1 Ni1,214.0,MPEA Nano-indentation (calculated),calculated,Al0.3 Co1 Cr1 Fe1 Mo0.1 Ni1,258
Al0.143 Cr0.343 Fe1 Mn0.8 Ni0.571,204.0,MPEA Nano-indentation (calculated),calculated,Al0.143 Cr0.343 Fe1 Mn0.8 Ni0.571,254
Al0.286 Cr0.343 Fe1 Mn0.657 Ni0.571,195.0,MPEA Nano-indentation (calculated),calculated,Al0.286 Cr0.343 Fe1 Mn0.657 Ni0.571,254
Al0.143 Cr0.343 Fe1 Mn0.8 Ni0.571,204.0,MPEA Nano-indentation (calculated),calculated,Al0.143 Cr0.343 Fe1 Mn0.8 Ni0.571,254
Al0.286 Cr0.343 Fe1 Mn0.657 Ni0.571,195.0,MPEA Nano-indentation (calculated),calculated,Al0.286 Cr0.343 Fe1 Mn0.657 Ni0.571,254
Co1 Cu1 Fe1 Mn1 Ni1,189.0,MPEA Nano-indentation (calculated),calculated,Co1 Cu1 Fe1 Mn1 Ni1,259
Co1 Cu1 Fe1 Mn1 Ni1,189.0,MPEA Nano-indentation (calculated),calculated,Co1 Cu1 Fe1 Mn1 Ni1,259
Co1 Cu1 Fe1 Mn1 Ni1,189.0,MPEA Nano-indentation (calculated),calculated,Co1 Cu1 Fe1 Mn1 Ni1,259
Co1 Cr1 Fe1 Mo0.15 Ni1,231.0,MPEA Nano-indentation (calculated),calculated,Co1 Cr1 Fe1 Mo0.15 Ni1,260
Co1 Cr1 Fe1 Mo0.15 Ni1,231.0,MPEA Nano-indentation (calculated),calculated,Co1 Cr1 Fe1 Mo0.15 Ni1,260
Co1 Cr1 Fe1 Mo0.15 Ni1,231.0,MPEA Nano-indentation (calculated),calculated,Co1 Cr1 Fe1 Mo0.15 Ni1,260
Al0.333 Co0.333 Cu0.333 Fe0.333 Ni1,167.0,MPEA Nano-indentation (calculated),calculated,Al0.333 Co0.333 Cu0.333 Fe0.333 Ni1,263
Co1 Cr0.2 Fe1 Ni1 Si0.2,195.0,MPEA Nano-indentation (calculated),calculated,Co1 Cr0.2 Fe1 Ni1 Si0.2,100
Co1 Cr0.2 Fe1 Ni1 Si0.2,195.0,MPEA Nano-indentation (calculated),calculated,Co1 Cr0.2 Fe1 Ni1 Si0.2,100
Co1 Cr0.2 Fe1 Ni1 Si0.2,195.0,MPEA Nano-indentation (calculated),calculated,Co1 Cr0.2 Fe1 Ni1 Si0.2,100
Al1 Cu0.077 Fe0.077 Mg0.077 Si0.231 Zn0.077,88.7,MPEA Nano-indentation (experimental),experimental,Al1 Cu0.077 Fe0.077 Mg0.077 Si0.231 Zn0.077,101
Al1 Cu0.077 Mg0.077 Ni0.077 Si0.231 Zn0.077,107.8,MPEA Nano-indentation (experimental),experimental,Al1 Cu0.077 Mg0.077 Ni0.077 Si0.231 Zn0.077,101
Al1 Cr0.077 Cu0.077 Mg0.077 Si0.231 Zn0.077,78.4,MPEA Nano-indentation (experimental),experimental,Al1 Cr0.077 Cu0.077 Mg0.077 Si0.231 Zn0.077,101
Al1 Cu0.077 Mg0.077 Mn0.077 Si0.231 Zn0.077,114.1,MPEA Nano-indentation (experimental),experimental,Al1 Cu0.077 Mg0.077 Mn0.077 Si0.231 Zn0.077,101
Al1 Cu0.077 Mg0.077 Si0.231 Zn0.077 Zr0.077,105.1,MPEA Nano-indentation (experimental),experimental,Al1 Cu0.077 Mg0.077 Si0.231 Zn0.077 Zr0.077,101
Co1 Cr1 Fe1 Mo0.2 Ni1,232.0,MPEA Nano-indentation (calculated),calculated,Co1 Cr1 Fe1 Mo0.2 Ni1,102
Co1 Cr1 Fe1 Mo0.2 Ni1,232.0,MPEA Nano-indentation (calculated),calculated,Co1 Cr1 Fe1 Mo0.2 Ni1,102
Co1 Cr1 Fe1 Mo0.2 Ni1,232.0,MPEA Nano-indentation (calculated),calculated,Co1 Cr1 Fe1 Mo0.2 Ni1,102
Co1 Cr1 Fe1 Mo0.2 Ni1,232.0,MPEA Nano-indentation (calculated),calculated,Co1 Cr1 Fe1 Mo0.2 Ni1,102
Co1 Cr1 Fe1 Mo0.2 Ni1,232.0,MPEA Nano-indentation (calculated),calculated,Co1 Cr1 Fe1 Mo0.2 Ni1,102
Co1 Cr1 Fe1 Mo0.2 Ni1,232.0,MPEA Nano-indentation (calculated),calculated,Co1 Cr1 Fe1 Mo0.2 Ni1,102
Co1 Cr1 Fe1 Mo0.2 Ni1,232.0,MPEA Nano-indentation (calculated),calculated,Co1 Cr1 Fe1 Mo0.2 Ni1,102
Co1 Cr1 Fe1 Mo0.2 Ni1,232.0,MPEA Nano-indentation (calculated),calculated,Co1 Cr1 Fe1 Mo0.2 Ni1,102
Co1 Cr1 Fe1 Mo0.2 Ni1,232.0,MPEA Nano-indentation (calculated),calculated,Co1 Cr1 Fe1 Mo0.2 Ni1,102
Co1 Cr1 Fe1 Mo0.2 Ni1,232.0,MPEA Nano-indentation (calculated),calculated,Co1 Cr1 Fe1 Mo0.2 Ni1,102
Co1 Cr1 Fe1 Mo0.2 Ni1,232.0,MPEA Nano-indentation (calculated),calculated,Co1 Cr1 Fe1 Mo0.2 Ni1,102
Co1 Cr1 Fe1 Ni1 Pd1,201.0,MPEA Nano-indentation (calculated),calculated,Co1 Cr1 Fe1 Ni1 Pd1,104
Cr1 Fe1 Ni1 Ti0.4,212.0,MPEA Nano-indentation (calculated),calculated,Cr1 Fe1 Ni1 Ti0.4,107
Cr1 Fe1 Ni1 Ti0.5,208.0,MPEA Nano-indentation (calculated),calculated,Cr1 Fe1 Ni1 Ti0.5,107
Cr1 Fe1 Ni1 Ti0.6,204.0,MPEA Nano-indentation (calculated),calculated,Cr1 Fe1 Ni1 Ti0.6,107
Co1 Cr1 Cu1 Fe1 Ni1,206.0,MPEA Nano-indentation (calculated),calculated,Co1 Cr1 Cu1 Fe1 Ni1,117
Hf1 Nb1 Ta1 Ti1 Zr1,59.0,MPEA Nano-indentation (experimental),experimental,Hf1 Nb1 Ta1 Ti1 Zr1,119
Nb1 Ta1 Ti1 Zr1,98.0,MPEA Nano-indentation (experimental),experimental,Nb1 Ta1 Ti1 Zr1,119
Nb1 Ta1 Ti1,143.0,MPEA Nano-indentation (experimental),experimental,Nb1 Ta1 Ti1,119
Ta1 Ti1 Zr1,157.0,MPEA Nano-indentation (experimental),experimental,Ta1 Ti1 Zr1,119
Nb1 Ti1 Zr1,88.0,MPEA Nano-indentation (experimental),experimental,Nb1 Ti1 Zr1,119
Nb1 Ta0.667 Ti0.667 Zr0.333,127.0,MPEA Nano-indentation (experimental),experimental,Nb1 Ta0.667 Ti0.667 Zr0.333,119
Nb0.333 Ta0.667 Ti0.667 Zr1,93.0,MPEA Nano-indentation (experimental),experimental,Nb0.333 Ta0.667 Ti0.667 Zr1,119
Al0.5 Cr1 Cu1 Fe1 Ni1,185.0,MPEA Nano-indentation (calculated),calculated,Al0.5 Cr1 Cu1 Fe1 Ni1,126
Al0.5 Cr1 Cu1 Fe1 Ni1,185.0,MPEA Nano-indentation (calculated),calculated,Al0.5 Cr1 Cu1 Fe1 Ni1,126
Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,137.0,MPEA Nano-indentation (calculated),calculated,Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,127
Hf1 Mo1 Ta1 Ti1 Zr1,143.0,MPEA Nano-indentation (calculated),calculated,Hf1 Mo1 Ta1 Ti1 Zr1,127
Hf1 Mo1 Nb1 Ti1 Zr1,128.0,MPEA Nano-indentation (calculated),calculated,Hf1 Mo1 Nb1 Ti1 Zr1,127
Hf1 Mo1 Nb1 Ta1 Zr1,141.0,MPEA Nano-indentation (calculated),calculated,Hf1 Mo1 Nb1 Ta1 Zr1,127
Hf1 Mo1 Nb1 Ta1 Ti1,155.0,MPEA Nano-indentation (calculated),calculated,Hf1 Mo1 Nb1 Ta1 Ti1,127
Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,137.0,MPEA Nano-indentation (calculated),calculated,Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,127
Hf1 Mo1 Ta1 Ti1 Zr1,143.0,MPEA Nano-indentation (calculated),calculated,Hf1 Mo1 Ta1 Ti1 Zr1,127
Hf1 Mo1 Nb1 Ti1 Zr1,128.0,MPEA Nano-indentation (calculated),calculated,Hf1 Mo1 Nb1 Ti1 Zr1,127
Hf1 Mo1 Nb1 Ta1 Zr1,141.0,MPEA Nano-indentation (calculated),calculated,Hf1 Mo1 Nb1 Ta1 Zr1,127
Hf1 Mo1 Nb1 Ta1 Ti1,155.0,MPEA Nano-indentation (calculated),calculated,Hf1 Mo1 Nb1 Ta1 Ti1,127
Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,137.0,MPEA Nano-indentation (calculated),calculated,Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,127
Hf1 Mo1 Ta1 Ti1 Zr1,143.0,MPEA Nano-indentation (calculated),calculated,Hf1 Mo1 Ta1 Ti1 Zr1,127
Hf1 Mo1 Nb1 Ti1 Zr1,128.0,MPEA Nano-indentation (calculated),calculated,Hf1 Mo1 Nb1 Ti1 Zr1,127
Hf1 Mo1 Nb1 Ta1 Zr1,141.0,MPEA Nano-indentation (calculated),calculated,Hf1 Mo1 Nb1 Ta1 Zr1,127
Hf1 Mo1 Nb1 Ta1 Ti1,155.0,MPEA Nano-indentation (calculated),calculated,Hf1 Mo1 Nb1 Ta1 Ti1,127
Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,137.0,MPEA Nano-indentation (calculated),calculated,Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,127
Hf1 Mo1 Ta1 Ti1 Zr1,143.0,MPEA Nano-indentation (calculated),calculated,Hf1 Mo1 Ta1 Ti1 Zr1,127
Hf1 Mo1 Nb1 Ti1 Zr1,128.0,MPEA Nano-indentation (calculated),calculated,Hf1 Mo1 Nb1 Ti1 Zr1,127
Hf1 Mo1 Nb1 Ta1 Zr1,141.0,MPEA Nano-indentation (calculated),calculated,Hf1 Mo1 Nb1 Ta1 Zr1,127
Hf1 Mo1 Nb1 Ta1 Ti1,155.0,MPEA Nano-indentation (calculated),calculated,Hf1 Mo1 Nb1 Ta1 Ti1,127
Hf1 Mo1 Nb1 Ta1 Zr1,141.0,MPEA Nano-indentation (calculated),calculated,Hf1 Mo1 Nb1 Ta1 Zr1,127
Hf1 Mo1 Nb1 Ta1 Ti1,155.0,MPEA Nano-indentation (calculated),calculated,Hf1 Mo1 Nb1 Ta1 Ti1,127
Co1 Cr1 Fe1 Ni1,226.0,MPEA Nano-indentation (calculated),calculated,Co1 Cr1 Fe1 Ni1,128
Hf1 Nb1 Ta1 Ti1 Zr1,91.5,MPEA Nano-indentation (experimental),experimental,Hf1 Nb1 Ta1 Ti1 Zr1,130
Hf1 Nb1 Ta1 Ti1 Zr1,99.2,MPEA Nano-indentation (experimental),experimental,Hf1 Nb1 Ta1 Ti1 Zr1,130
Hf1 Nb1 Ta1 Ti1 Zr1,109.1,MPEA Nano-indentation (experimental),experimental,Hf1 Nb1 Ta1 Ti1 Zr1,130
Hf1 Nb1 Ta1 Ti1 Zr1,105.3,MPEA Nano-indentation (experimental),experimental,Hf1 Nb1 Ta1 Ti1 Zr1,130
Hf1 Nb1 Ta1 Ti1 Zr1,91.6,MPEA Nano-indentation (experimental),experimental,Hf1 Nb1 Ta1 Ti1 Zr1,130
Hf1 Nb1 Ta1 Ti1 Zr1,92.6,MPEA Nano-indentation (experimental),experimental,Hf1 Nb1 Ta1 Ti1 Zr1,130
Hf1 Nb1 Ta1 Ti1 Zr1,92.6,MPEA Nano-indentation (experimental),experimental,Hf1 Nb1 Ta1 Ti1 Zr1,130
Hf1 Nb1 Ta1 Ti1 Zr1,101.3,MPEA Nano-indentation (experimental),experimental,Hf1 Nb1 Ta1 Ti1 Zr1,130
Hf1 Nb1 Ta1 Ti1 Zr1,107.0,MPEA Nano-indentation (calculated),calculated,Hf1 Nb1 Ta1 Ti1 Zr1,130
Hf1 Nb1 Ta1 Ti1 Zr1,107.0,MPEA Nano-indentation (calculated),calculated,Hf1 Nb1 Ta1 Ti1 Zr1,130
Hf1 Nb1 Ta1 Ti1 Zr1,107.0,MPEA Nano-indentation (calculated),calculated,Hf1 Nb1 Ta1 Ti1 Zr1,130
Al1 Mo1 Nb1 Ti1,151.0,MPEA Nano-indentation (calculated),calculated,Al1 Mo1 Nb1 Ti1,265
Al1 Nb1 Ta1 Ti1,120.0,MPEA Nano-indentation (calculated),calculated,Al1 Nb1 Ta1 Ti1,265
Cr1 Mo1 Ta1 Ti1,219.0,MPEA Nano-indentation (calculated),calculated,Cr1 Mo1 Ta1 Ti1,265
Cr1 Mo1 Ta1 Ti1,219.0,MPEA Nano-indentation (calculated),calculated,Cr1 Mo1 Ta1 Ti1,265
Cr1 Nb1 Ta1 Ti1,162.0,MPEA Nano-indentation (calculated),calculated,Cr1 Nb1 Ta1 Ti1,265
Cr1 Nb1 Ti1 W1,217.0,MPEA Nano-indentation (calculated),calculated,Cr1 Nb1 Ti1 W1,265
Hf1 Nb1 Ta1 Ti1,119.0,MPEA Nano-indentation (calculated),calculated,Hf1 Nb1 Ta1 Ti1,265
Hf1 Nb1 Ta1 Ti1,119.0,MPEA Nano-indentation (calculated),calculated,Hf1 Nb1 Ta1 Ti1,265
Mo1 Nb1 Ta1 Ti1 W1,222.0,MPEA Nano-indentation (calculated),calculated,Mo1 Nb1 Ta1 Ti1 W1,265
Mo1 Nb1 Ta1 Ti1 W1,222.0,MPEA Nano-indentation (calculated),calculated,Mo1 Nb1 Ta1 Ti1 W1,265
Mo1 Nb1 Ta1 Ti1,179.0,MPEA Nano-indentation (calculated),calculated,Mo1 Nb1 Ta1 Ti1,265
Mo1 Nb1 Ta1 Ti1,179.0,MPEA Nano-indentation (calculated),calculated,Mo1 Nb1 Ta1 Ti1,265
