alloy_name,elastic_modulus,composition,phases,yield_strength,ultimate_strength,hardness,elongation,density,mixing_entropy,mixing_enthalpy,valence_electron,year,notes,source
TiGaNi2,133.64934,,,,,,,7.866307849734964,,,,,,Materials Project
HfGa5Co,133.74762,,,,,,,8.8900954238805,,,,,,Materials Project
Zr6Al2Ni,133.81029,,,,,,,5.959994103063383,,,,,,Materials Project
YSiRu,133.85973,,,,,,,6.757562753767398,,,,,,Materials Project
MoNb2Ti,133.92,,,,,,,,,,,,,Refractory HEA Elastic Constants
NdCoGe3,133.93837,,,,,,,7.734612565404422,,,,,,Materials Project
ZrSn2,133.94736,,,,,,,7.966640713050733,,,,,,Materials Project
UAs2Pd,133.95157,,,,,,,10.634649812869776,,,,,,Materials Project
HoGaRh2,134.03326,,,,,,,11.246759402925177,,,,,,Materials Project
Zn(CoN)2,134.03873,,,,,,,5.900039240386355,,,,,,Materials Project
Hf2CuIr,134.12804,,,,,,,14.640032082834798,,,,,,Materials Project
Ti2NiS4,134.13342,,,,,,,4.123098186899725,,,,,,Materials Project
ZrInCu2,134.13704,,,,,,,8.487243337267126,,,,,,Materials Project
Ca(MnGe)2,134.14435,,,,,,,5.064020546407274,,,,,,Materials Project
ErCdCu4,134.146,,,,,,,9.857502176843544,,,,,,Materials Project
KPtO3,134.15775,,,,,,,7.072388646410466,,,,,,Materials Project
Ga2IrRh,134.1634,,,,,,,13.137071764148104,,,,,,Materials Project
TaTiVW,134.26,,,,,,,,,,,,,Refractory HEA Elastic Constants
ThAsS,134.31836,,,,,,,8.31900167243007,,,,,,Materials Project
ScNi2Sn,134.33124,,,,,,,7.780864575801488,,,,,,Materials Project
La2CuO4,134.38815,,,,,,,6.919921389386846,,,,,,Materials Project
Y2GeRh3,134.43515,,,,,,,8.749697833741012,,,,,,Materials Project
LiSiPd2,134.43977,,,,,,,7.985017168075295,,,,,,Materials Project
Sc2TlC,134.53073,,,,,,,6.79045460737286,,,,,,Materials Project
PaTiTc2,134.55649,,,,,,,11.306843362012764,,,,,,Materials Project
ScAlCu2,134.58722,,,,,,,5.650750673135394,,,,,,Materials Project
SmGa5Co,134.58963,,,,,,,7.624422974127822,,,,,,Materials Project
CoNiSn,134.65863,,,,,,,9.439958397603052,,,,,,Materials Project
FeSn,134.67485,,,,,,,7.902964511511461,,,,,,Materials Project
HfMoTa,134.72,,,,,,,,,,,,,Refractory HEA Elastic Constants
CeAlO3,134.75436,,,,,,,6.708320355031181,,,,,,Materials Project
DyCuGe,134.89969,,,,,,,8.878226387718664,,,,,,Materials Project
WTiZr,134.9,,,,,,,,6.08957507098478,-6.54298024954319,4.66662,,,DOE/OSTI
Pr(CuGe)2,134.94894,,,,,,,7.790721747569689,,,,,,Materials Project
MgNi2Sn,134.98772,,,,,,,7.576872557828488,,,,,,Materials Project
CoCrFeNiTi,135.0,,FCC,,2020.0,,9,7.2,,,,,,Gorsse
AlFe2,135.0101,,,,,,,6.093348966420929,,,,,,Materials Project
Zr6Ga2Co,135.0252,,,,,,,6.955538034320647,,,,,,Materials Project
MgNiH2,135.27884,,,,,,,4.198103065162129,,,,,,Materials Project
Ho2AlSi2,135.28873,,,,,,,6.900370980885718,,,,,,Materials Project
ErB2Rh2C,135.33806,,,,,,,9.10077687488177,,,,,,Materials Project
Sc2AlIr,135.49564,,,,,,,7.13475593938704,,,,,,Materials Project
HoScRu2,135.50629,,,,,,,9.692301186987043,,,,,,Materials Project
HfNb2W,135.54,,,,,,,,,,,,,Refractory HEA Elastic Constants
Er2MgGe2,135.7927,,,,,,,7.760735371640712,,,,,,Materials Project
Tm(SiPd)2,135.79373,,,,,,,8.7314084768597,,,,,,Materials Project
