alloy_name,elastic_modulus,source,mixing_entropy,mixing_enthalpy,valence_electron,diff_in_atomic_radii,diff_electronegativity,omega,lambda,phases,density,hardness,yield_strength
Al0.5CoCrCuFeNi,161.1,DOE/OSTI,14.698050513986,-4.81265823519199,8.27281,4.16922870704349,0.109326051956354,5.17054411597514,0.8455675283939771,,,,
Al0.3CoCrFeNi,168.0,DOE/OSTI,12.8260629035067,-9.8746596850176,7.88378999999999,3.75761596212102,0.107517118794225,2.34618521449956,0.9083821287536321,,,,
Al0.5CrCuFeNi2,172.1,DOE/OSTI,12.6023399855834,-5.80190116024959,8.45463,4.19964640402581,0.113093813029071,3.6616156540720697,0.7145386747978789,,,,
CoCrFeNi ,173.9,DOE/OSTI,11.5262926432879,-3.701,8.25,0.30211588476677803,0.0966953980290685,5.82932673738833,126.2823110053,,,,
NiCoCr,174.4,DOE/OSTI,9.13436260647717,-5.02345508494679,8.33325,0.16455908117517,0.111454466038826,3.4402698814012203,337.314134786592,,,,
FeNi,174.4,DOE/OSTI,5.76314632164397,-1.5,9.0,0.20104543626860402,0.0399999999999999,6.798591610766009,142.584135884374,,,,
FeNiCo,173.8,DOE/OSTI,9.13436260647717,-1.0128686312124,8.99991,0.3276454648614,0.0329981514633773,15.9532296351619,85.0883154613009,,,,
NiCo,171.0,DOE/OSTI,5.76314632164397,-0.218,9.5,0.200240288346015,0.015,46.2109163772186,143.73307673506798,,,,
AlCoCrCuFeNi,171.7,DOE/OSTI,14.897648787046,-10.3385246396908,7.83349,5.28118341032729,0.119083328668066,2.3484282301410198,0.534140158305352,,,,
Al0.5CoCrCuFeNi,173.3,DOE/OSTI,14.698050513986,-4.81265823519199,8.27281,4.16922870704349,0.109326051956354,5.17054411597514,0.8455675283939771,,,,
AlCo0.5CrCuFeNi,71.6,DOE/OSTI,14.698050513986,-10.4575314615415,7.72734999999999,5.4480609805796,0.121689821042906,2.2729037929904696,0.495194503571481,,,,
AlCoCr0.5CuFeNi,161.1,DOE/OSTI,14.698050513986,-10.9516901048967,8.00007999999999,5.44005576313407,0.116499083882468,2.12007903763787,0.49665296522383295,,,,
AlCoCrCu0.5FeNi,121.1,DOE/OSTI,14.698050513986,-13.9273529230455,7.54552999999999,5.51282405727519,0.120186407490425,1.74599669378508,0.4836280386083,,,,
AlCoCrCuFe0.5Ni,178.6,DOE/OSTI,14.698050513986,-11.5352389657815,7.81825999999999,5.40352788578559,0.123977423897916,2.0555713153743698,0.503390414499672,,,,
AlCoCrCuFeNi0.5,115.5,DOE/OSTI,14.698050513986,-9.8327916942064,7.63643999999999,5.4272056934512,0.119302976416425,2.42275150903284,0.49900761362919605,,,,
CuNiCoFeCrAl0.5,174.4,DOE/OSTI,14.698050513986,-4.81265823519199,8.27281,4.31935302140662,0.112676504770394,5.17054411597514,0.787811533779865,,,,
CuNiCoFeCrAl0.5V0.2,141.1,DOE/OSTI,15.4462064517097,-5.6908586949264,8.15797,4.28493178675397,0.115714424912534,4.6418805334833895,0.841267303361326,,,,
CuNiCoFeCrAl0.5V0.4,71.9,DOE/OSTI,15.7627335490913,-6.4411618576188,8.05081,4.24974728784141,0.118160443516051,4.22438242212129,0.8727810808955221,,,,
CuNiCoFeCrAl0.5V0.6,130.9,DOE/OSTI,15.9249786629622,-7.0818694811772,7.95063,4.21400691000132,0.12012951002378,3.9153402851267303,0.8967850760537199,,,,
CuNiCoFeCrAl0.5V0.8,166.7,DOE/OSTI,15.9961904160017,-7.6299983284724,7.85713,4.17812514202091,0.121712911162908,3.6797895988894402,0.916333739979613,,,,
CuNiCoFeCrAl0.5V1.0,127.8,DOE/OSTI,16.0064754119091,-8.097819492734,7.76941,4.14208048300946,0.122977113262762,3.49553977285251,0.9329505936105281,,,,
CuNiCoFeCrAl0.5V1.2,257.3,DOE/OSTI,15.9734567970528,-8.497332231234,7.68639,4.1062661376979195,0.123971939253544,3.34743735748684,0.94733748921333,,,,
CuNiCoFeCrAl0.5V1.4,218.0,DOE/OSTI,15.9096074390714,-8.8373524485884,7.6088,4.07060341294376,0.124748608576234,3.2268777260065797,0.960156174336684,,,,
CuNiCoFeCrAl0.5V1.6,130.5,DOE/OSTI,15.822506272406,-9.126412144834,7.53541,4.03535184114855,0.125336610320098,3.1266673610721902,0.97165583506691,,,,
CuNiCoFeCrAl0.5V1.8,136.6,DOE/OSTI,15.7179205409973,-9.3709452218228,7.46592999999999,4.00046055559966,0.125765609691991,3.0423982471356696,0.982143854866066,,,,
CuNiCoFeCrAl0.5V2.0,128.0,DOE/OSTI,15.6001221928433,-9.5769046807888,7.39988,3.96607509808937,0.126057566368149,2.9705981539351,0.991758961396972,,,,
FeNiCrCuCo,112.0,DOE/OSTI,13.3816113591719,3.24048,8.8,1.0332036605064499,0.092217135067188,7.304922400463069,12.5353521887839,,,,
FeNiCrCuMo,81.9,DOE/OSTI,13.3816113591719,4.61232,8.2,3.58022880885233,0.161170716943246,5.78675080282412,1.04396718290286,,,,
FeNiCrCoAl1.5,121.1,DOE/OSTI,13.2546888282738,-22.3480833185984,6.81824999999999,6.582494509340769,0.127636483812427,0.958376390169315,0.30590637348509697,,,,
Fe NiCrCoAl2,141.7,DOE/OSTI,12.976553393523,-24.4896275694224,6.5001,7.257712206613561,0.136136817225502,0.8260885304084781,0.246354144056742,,,,
FeNiCrCoAl2.5,141.6,DOE/OSTI,12.6329601751951,-25.73389342356,6.23091,7.83235706402324,0.144861564157455,0.741715111037477,0.205930261528125,,,,
FeNiCrCoAl3,141.7,DOE/OSTI,12.2645585426645,-26.3844679302335,6.00009,8.32697604873908,0.15326343628247,0.6831522704951231,0.1768794135396,,,,
FeNiCrCuZr,141.5,DOE/OSTI,13.3816113591719,-13.80048,7.8,10.6086282900281,0.21731083728153,1.78507783483711,0.11890221559121501,,,,
CuNiCoFeMn,141.1,DOE/OSTI,13.3816113591719,1.78175999999999,9.0,3.17893412710279,0.1348480626483,12.2925679769273,1.3241749112440702,,,,
CuNiCoFeMnSn0.03,141.4,DOE/OSTI,13.6051648877003,1.52480456383679,8.97029,3.79398064884202,0.134915126613534,14.544006134216401,0.9451779614048189,,,,
CuNiCoFeMnSn0.05,141.6,DOE/OSTI,13.7109312622974,1.35650521392959,8.9505,4.14550260311254,0.134955243020936,16.4303166287987,0.797834053643633,,,,
CuNiCoFeMnSn0.08,137.2,DOE/OSTI,13.8443409295655,1.10904982914,8.92124999999999,4.61140066469925,0.135011263603263,20.2092098427581,0.651038347242203,,,,
CuNiCoFeMnSn0.1,137.6,DOE/OSTI,13.9217405784103,0.947357335660799,8.90204,4.89033645089452,0.135045930443707,23.726780339666,0.582124741742434,,,,
CuNiCoFeMnSn0.2,139.5,DOE/OSTI,14.2224212170634,0.175406197156799,8.80779,6.03224691988095,0.135178063506885,129.18482197299102,0.39085467963728704,,,,
CuNi2FeCrAl0.2,137.9,DOE/OSTI,12.0057998788327,-1.3071297930616,8.76933,3.65719832453276,0.140332871998831,15.8819635583351,0.897623214135036,,,,
CuNi2FeCrAl0.3,202.0,DOE/OSTI,12.2578930176411,-2.9212514132608,8.6604,3.90523822356047,0.138071890052102,7.19262982297051,0.803749588909091,,,,
CuNi2FeCrAl0.4,178.6,DOE/OSTI,12.4513613288248,-4.4160955936704,8.55566,4.1386584269428,0.136121008181879,4.79231752456212,0.726938494291617,,,,
CuNi2FeCrAl0.5,78.1,DOE/OSTI,12.6023399855834,-5.80190116024959,8.45463,4.35937828916731,0.134460104255364,3.6616156540720697,0.663135194656304,,,,
