,Co,Cr,Fe,Ni,Mn,Al,Cu,Mo,Elongation
0,0.25,0.25,0.0,0.25,0.0,0.25,0.0,0.0,28.5
1,0.0,0.25,0.0,0.25,0.25,0.25,0.0,0.0,48.0
2,0.0,0.0,0.25,0.25,0.25,0.25,0.0,0.0,41.1
3,0.0,0.25,0.25,0.0,0.25,0.25,0.0,0.0,43.8
4,0.2,0.2,0.0,0.2,0.2,0.2,0.0,0.0,10.5
5,0.23809523809523808,0.23809523809523808,0.0,0.23809523809523808,0.0,0.23809523809523808,0.0,0.047619047619047616,28.7
6,0.2222222222222222,0.2222222222222222,0.0,0.2222222222222222,0.0,0.2222222222222222,0.0,0.1111111111111111,12.6
7,0.20833333333333334,0.20833333333333334,0.0,0.20833333333333334,0.0,0.20833333333333334,0.0,0.16666666666666669,0.1
8,0.07063197026022305,0.1858736059479554,0.1858736059479554,0.1858736059479554,0.1858736059479554,0.1858736059479554,0.0,0.0,46.0
9,0.07918968692449356,0.1841620626151013,0.1841620626151013,0.1841620626151013,0.1841620626151013,0.1841620626151013,0.0,0.0,36.0
10,0.08925318761384335,0.18214936247723132,0.18214936247723132,0.18214936247723132,0.18214936247723132,0.18214936247723132,0.0,0.0,30.0
11,0.10071942446043165,0.17985611510791366,0.17985611510791366,0.17985611510791366,0.17985611510791366,0.17985611510791366,0.0,0.0,17.5
12,0.11032028469750889,0.17793594306049823,0.17793594306049823,0.17793594306049823,0.17793594306049823,0.17793594306049823,0.0,0.0,7.0
13,0.19607843137254904,0.19607843137254904,0.0,0.19607843137254904,0.19607843137254904,0.19607843137254904,0.0,0.019607843137254905,9.1
14,0.1923076923076923,0.1923076923076923,0.0,0.1923076923076923,0.1923076923076923,0.1923076923076923,0.0,0.038461538461538464,3.4
15,0.18867924528301888,0.18867924528301888,0.0,0.18867924528301888,0.18867924528301888,0.18867924528301888,0.0,0.05660377358490566,3.3
16,0.18518518518518517,0.18518518518518517,0.0,0.18518518518518517,0.18518518518518517,0.18518518518518517,0.0,0.07407407407407407,3.0
17,0.18181818181818182,0.18181818181818182,0.0,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.0,0.09090909090909091,2.5
18,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,15.0
